EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 17-03-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CALAIS-MARCK, FRANCE (STAID: 11314)
Blended and updated with sources:160363 160783 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 11314,160783,19570101,-9999,    9
 11314,160783,19570102,   32,    0
 11314,160783,19570103,   77,    0
 11314,160783,19570104,  110,    0
 11314,160783,19570105,  121,    0
 11314,160783,19570106,-9999,    9
 11314,160783,19570107,   58,    0
 11314,160783,19570108,   93,    0
 11314,160783,19570109,   93,    0
 11314,160783,19570110,   64,    0
 11314,160783,19570111,   50,    0
 11314,160783,19570112,   62,    0
 11314,160783,19570113,-9999,    9
 11314,160783,19570114,   28,    0
 11314,160783,19570115,   14,    0
 11314,160783,19570116,   13,    0
 11314,160783,19570117,    4,    0
 11314,160783,19570118,    7,    0
 11314,160783,19570119,   18,    0
 11314,160783,19570120,-9999,    9
 11314,160783,19570121,   35,    0
 11314,160783,19570122,   35,    0
 11314,160783,19570123,   33,    0
 11314,160783,19570124,   42,    0
 11314,160783,19570125,   43,    0
 11314,160783,19570126,   89,    0
 11314,160783,19570127,-9999,    9
 11314,160783,19570128,   67,    0
 11314,160783,19570129,   63,    0
 11314,160783,19570130,   85,    0
 11314,160783,19570131,  105,    0
 11314,160783,19570201,  119,    0
 11314,160783,19570202,   84,    0
 11314,160783,19570203,-9999,    9
 11314,160783,19570204,  111,    0
 11314,160783,19570205,  107,    0
 11314,160783,19570206,   94,    0
 11314,160783,19570207,   72,    0
 11314,160783,19570208,  105,    0
 11314,160783,19570209,   82,    0
 11314,160783,19570210,-9999,    9
 11314,160783,19570211,   74,    0
 11314,160783,19570212,   73,    0
 11314,160783,19570213,   83,    0
 11314,160783,19570214,   64,    0
 11314,160783,19570215,   46,    0
 11314,160783,19570216,   44,    0
 11314,160783,19570217,-9999,    9
 11314,160783,19570218,   29,    0
 11314,160783,19570219,   27,    0
 11314,160783,19570220,   31,    0
 11314,160783,19570221,   28,    0
 11314,160783,19570222,   25,    0
 11314,160783,19570223,   28,    0
 11314,160783,19570224,   84,    0
 11314,160783,19570225,   84,    0
 11314,160783,19570226,   76,    0
 11314,160783,19570227,   49,    0
 11314,160783,19570228,   30,    0
 11314,160783,19570301,   47,    0
 11314,160783,19570302,   53,    0
 11314,160783,19570303,-9999,    9
 11314,160783,19570304,   62,    0
 11314,160783,19570305,   50,    0
 11314,160783,19570306,   69,    0
 11314,160783,19570307,   92,    0
 11314,160783,19570308,  100,    0
 11314,160783,19570309,  127,    0
 11314,160783,19570310,-9999,    9
 11314,160783,19570311,  119,    0
 11314,160783,19570312,  111,    0
 11314,160783,19570313,  106,    0
 11314,160783,19570314,   98,    0
 11314,160783,19570315,  100,    0
 11314,160783,19570316,  100,    0
 11314,160783,19570317,-9999,    9
 11314,160783,19570318,  111,    0
 11314,160783,19570319,  110,    0
 11314,160783,19570320,  110,    0
 11314,160783,19570321,   88,    0
 11314,160783,19570322,   82,    0
 11314,160783,19570323,  102,    0
 11314,160783,19570324,-9999,    9
 11314,160783,19570325,  100,    0
 11314,160783,19570326,   95,    0
 11314,160783,19570327,   98,    0
 11314,160783,19570328,   99,    0
 11314,160783,19570329,   86,    0
 11314,160783,19570330,   62,    0
 11314,160783,19570331,-9999,    9
 11314,160783,19570401,   71,    0
 11314,160783,19570402,   73,    0
 11314,160783,19570403,   81,    0
 11314,160783,19570404,   71,    0
 11314,160783,19570405,   91,    0
 11314,160783,19570406,   89,    0
 11314,160783,19570407,-9999,    9
 11314,160783,19570408,   75,    0
 11314,160783,19570409,   74,    0
 11314,160783,19570410,   76,    0
 11314,160783,19570411,   68,    0
 11314,160783,19570412,   64,    0
 11314,160783,19570413,   60,    0
 11314,160783,19570414,-9999,    9
 11314,160783,19570415,   92,    0
 11314,160783,19570416,  105,    0
 11314,160783,19570417,  105,    0
 11314,160783,19570418,  104,    0
 11314,160783,19570419,  100,    0
 11314,160783,19570420,   79,    0
 11314,160783,19570421,-9999,    9
 11314,160783,19570422,-9999,    9
 11314,160783,19570423,  106,    0
 11314,160783,19570424,  109,    0
 11314,160783,19570425,   83,    0
 11314,160783,19570426,   87,    0
 11314,160783,19570427,   96,    0
 11314,160783,19570428,-9999,    9
 11314,160783,19570429,   94,    0
 11314,160783,19570430,   91,    0
 11314,160783,19570501,   78,    0
 11314,160783,19570502,   95,    0
 11314,160783,19570503,  104,    0
 11314,160783,19570504,   84,    0
 11314,160783,19570505,   66,    0
 11314,160783,19570506,   61,    0
 11314,160783,19570507,   64,    0
 11314,160783,19570508,   55,    0
 11314,160783,19570509,  107,    0
 11314,160783,19570510,  121,    0
 11314,160783,19570511,  138,    0
 11314,160783,19570512,  121,    0
 11314,160783,19570513,  123,    0
 11314,160783,19570514,  141,    0
 11314,160783,19570515,  138,    0
 11314,160783,19570516,  116,    0
 11314,160783,19570517,  118,    0
 11314,160783,19570518,  128,    0
 11314,160783,19570519,  118,    0
 11314,160783,19570520,  112,    0
 11314,160783,19570521,  114,    0
 11314,160783,19570522,   98,    0
 11314,160783,19570523,  104,    0
 11314,160783,19570524,  110,    0
 11314,160783,19570525,  116,    0
 11314,160783,19570526,  114,    0
 11314,160783,19570527,  111,    0
 11314,160783,19570528,  111,    0
 11314,160783,19570529,  114,    0
 11314,160783,19570530,  109,    0
 11314,160783,19570531,  109,    0
 11314,160783,19570601,  145,    0
 11314,160783,19570602,  154,    0
 11314,160783,19570603,  151,    0
 11314,160783,19570604,  134,    0
 11314,160783,19570605,  125,    0
