EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 17-03-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : Minimum temperature in 0.1 &#176;C
30-34 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LILLE-LESQUIN, FRANCE (STAID: 737)
Blended and updated with sources:4042 907015 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TN, Q_TN
   737,  4042,19441201,   56,    0
   737,  4042,19441202,   40,    0
   737,  4042,19441203,   14,    0
   737,  4042,19441204,   53,    0
   737,  4042,19441205,   22,    0
   737,  4042,19441206,   10,    0
   737,  4042,19441207,   44,    0
   737,  4042,19441208,   12,    0
   737,  4042,19441209,   10,    0
   737,  4042,19441210,   -2,    0
   737,  4042,19441211,   20,    0
   737,  4042,19441212,   23,    0
   737,  4042,19441213,   20,    0
   737,  4042,19441214,  -10,    0
   737,  4042,19441215,  -10,    0
   737,  4042,19441216,    2,    0
   737,  4042,19441217,   72,    0
   737,  4042,19441218,   86,    0
   737,  4042,19441219,   19,    0
   737,  4042,19441220,   14,    0
   737,  4042,19441221,   30,    0
   737,  4042,19441222,   47,    0
   737,  4042,19441223,   20,    0
   737,  4042,19441224,  -41,    0
   737,  4042,19441225,  -48,    0
   737,  4042,19441226,  -60,    0
   737,  4042,19441227,  -98,    0
   737,  4042,19441228,  -59,    0
   737,  4042,19441229,  -31,    0
   737,  4042,19441230,  -48,    0
   737,  4042,19441231,    2,    0
   737,  4042,19450101,  -32,    0
   737,  4042,19450102,  -34,    0
   737,  4042,19450103,   -2,    0
   737,  4042,19450104,    2,    0
   737,  4042,19450105,   -8,    0
   737,  4042,19450106,  -22,    0
   737,  4042,19450107,  -20,    0
   737,  4042,19450108,  -20,    0
   737,  4042,19450109,  -50,    0
   737,  4042,19450110,  -44,    0
   737,  4042,19450111, -107,    0
   737,  4042,19450112,  -66,    0
   737,  4042,19450113,  -84,    0
   737,  4042,19450114,  -66,    0
   737,  4042,19450115,  -98,    0
   737,  4042,19450116,  -70,    0
   737,  4042,19450117,  -70,    0
   737,  4042,19450118,    7,    0
   737,  4042,19450119,   12,    0
   737,  4042,19450120,  -22,    0
   737,  4042,19450121,  -34,    0
   737,  4042,19450122,  -68,    0
   737,  4042,19450123,  -50,    0
   737,  4042,19450124, -130,    0
   737,  4042,19450125, -176,    0
   737,  4042,19450126, -163,    0
   737,  4042,19450127,  -80,    0
   737,  4042,19450128,  -58,    0
   737,  4042,19450129,  -98,    0
   737,  4042,19450130,  -76,    0
   737,  4042,19450131,  -61,    0
   737,  4042,19450201,   25,    0
   737,  4042,19450202,   51,    0
   737,  4042,19450203,   43,    0
   737,  4042,19450204,    9,    0
   737,  4042,19450205,   54,    0
   737,  4042,19450206,   46,    0
   737,  4042,19450207,   53,    0
   737,  4042,19450208,   40,    0
   737,  4042,19450209,   46,    0
   737,  4042,19450210,   51,    0
   737,  4042,19450211,    4,    0
   737,  4042,19450212,   19,    0
   737,  4042,19450213,   62,    0
   737,  4042,19450214,   35,    0
   737,  4042,19450215,   30,    0
   737,  4042,19450216,   22,    0
   737,  4042,19450217,   31,    0
   737,  4042,19450218,   49,    0
   737,  4042,19450219,   89,    0
   737,  4042,19450220,   59,    0
   737,  4042,19450221,   16,    0
   737,  4042,19450222,    9,    0
   737,  4042,19450223,   -6,    0
   737,  4042,19450224,   20,    0
   737,  4042,19450225,    7,    0
   737,  4042,19450226,   36,    0
   737,  4042,19450227,   82,    0
   737,  4042,19450228,   60,    0
   737,  4042,19450301,   34,    0
   737,  4042,19450302,   10,    0
   737,  4042,19450303,   -4,    0
   737,  4042,19450304,   -4,    0
   737,  4042,19450305,    4,    0
   737,  4042,19450306,   38,    0
   737,  4042,19450307,   61,    0
   737,  4042,19450308,   40,    0
   737,  4042,19450309,   14,    0
   737,  4042,19450310,   32,    0
   737,  4042,19450311,   40,    0
   737,  4042,19450312,   52,    0
   737,  4042,19450313,   10,    0
   737,  4042,19450314,  -10,    0
   737,  4042,19450315,   33,    0
   737,  4042,19450316,   10,    0
   737,  4042,19450317,   58,    0
   737,  4042,19450318,   55,    0
   737,  4042,19450319,   29,    0
   737,  4042,19450320,   67,    0
   737,  4042,19450321,   14,    0
   737,  4042,19450322,   39,    0
   737,  4042,19450323,   43,    0
   737,  4042,19450324,   80,    0
   737,  4042,19450325,  109,    0
   737,  4042,19450326,   88,    0
   737,  4042,19450327,   65,    0
   737,  4042,19450328,   35,    0
   737,  4042,19450329,   90,    0
   737,  4042,19450330,   84,    0
   737,  4042,19450331,   61,    0
   737,  4042,19450401,   91,    0
   737,  4042,19450402,  112,    0
   737,  4042,19450403,   59,    0
   737,  4042,19450404,   53,    0
   737,  4042,19450405,   41,    0
   737,  4042,19450406,   38,    0
   737,  4042,19450407,   43,    0
   737,  4042,19450408,   22,    0
   737,  4042,19450409,   24,    0
   737,  4042,19450410,   47,    0
   737,  4042,19450411,   88,    0
   737,  4042,19450412,  125,    0
