EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 17-03-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : Minimum temperature in 0.1 &#176;C
30-34 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station CESENA_URBANA, ITALY (STAID: 17589)
Blended and updated with sources:94918 97078 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TN, Q_TN
 17589, 94918,20051201,-9999,    9
 17589, 94918,20051202,-9999,    9
 17589, 94918,20051203,-9999,    9
 17589, 94918,20051204,-9999,    9
 17589, 94918,20051205,-9999,    9
 17589, 94918,20051206,-9999,    9
 17589, 94918,20051207,-9999,    9
 17589, 94918,20051208,-9999,    9
 17589, 94918,20051209,-9999,    9
 17589, 94918,20051210,-9999,    9
 17589, 94918,20051211,-9999,    9
 17589, 94918,20051212,-9999,    9
 17589, 94918,20051213,-9999,    9
 17589, 94918,20051214,-9999,    9
 17589, 94918,20051215,-9999,    9
 17589, 94918,20051216,-9999,    9
 17589, 94918,20051217,-9999,    9
 17589, 94918,20051218,-9999,    9
 17589, 94918,20051219,-9999,    9
 17589, 94918,20051220,-9999,    9
 17589, 94918,20051221,-9999,    9
 17589, 94918,20051222,-9999,    9
 17589, 94918,20051223,-9999,    9
 17589, 94918,20051224,-9999,    9
 17589, 94918,20051225,-9999,    9
 17589, 94918,20051226,-9999,    9
 17589, 94918,20051227,-9999,    9
 17589, 94918,20051228,-9999,    9
 17589, 94918,20051229,-9999,    9
 17589, 94918,20051230,-9999,    9
 17589, 94918,20051231,  -18,    0
 17589, 94918,20060101,   -8,    0
 17589, 94918,20060102,   16,    0
 17589, 94918,20060103,   29,    0
 17589, 94918,20060104,   28,    0
 17589, 94918,20060105,   28,    0
 17589, 94918,20060106,   16,    0
 17589, 94918,20060107,   42,    0
 17589, 94918,20060108,   21,    0
 17589, 94918,20060109,   16,    0
 17589, 94918,20060110,    3,    0
 17589, 94918,20060111,    1,    0
 17589, 94918,20060112,   -3,    0
 17589, 94918,20060113,    5,    0
 17589, 94918,20060114,  -10,    0
 17589, 94918,20060115,   -7,    0
 17589, 94918,20060116,   -2,    0
 17589, 94918,20060117,   -6,    0
 17589, 94918,20060118,   -3,    0
 17589, 94918,20060119,  -20,    0
 17589, 94918,20060120,  -35,    0
 17589, 94918,20060121,  -16,    0
 17589, 94918,20060122,   10,    0
