EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 17-03-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : Minimum temperature in 0.1 &#176;C
30-34 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MONTPELLIER-AEROPORT, FRANCE (STAID: 2207)
Blended and updated with sources:6691 907643 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TN, Q_TN
  2207,  6691,19460101,   20,    0
  2207,  6691,19460102,   51,    0
  2207,  6691,19460103,   10,    0
  2207,  6691,19460104,  -10,    0
  2207,  6691,19460105,  -36,    0
  2207,  6691,19460106,  -49,    0
  2207,  6691,19460107,  -48,    0
  2207,  6691,19460108,  -29,    0
  2207,  6691,19460109,   60,    0
  2207,  6691,19460110,   80,    0
  2207,  6691,19460111,   18,    0
  2207,  6691,19460112,   62,    0
  2207,  6691,19460113,   60,    0
  2207,  6691,19460114,    6,    0
  2207,  6691,19460115,  -62,    0
  2207,  6691,19460116,  -61,    0
  2207,  6691,19460117,  -29,    0
  2207,  6691,19460118,  -18,    0
  2207,  6691,19460119,   -8,    0
  2207,  6691,19460120,  -24,    0
  2207,  6691,19460121,   33,    0
  2207,  6691,19460122,   12,    0
  2207,  6691,19460123,   20,    0
  2207,  6691,19460124,   23,    0
  2207,  6691,19460125,   36,    0
  2207,  6691,19460126,   40,    0
  2207,  6691,19460127,   70,    0
  2207,  6691,19460128,   50,    0
  2207,  6691,19460129,   -3,    0
  2207,  6691,19460130,   78,    0
  2207,  6691,19460131,   30,    0
  2207,  6691,19460201,   -4,    0
  2207,  6691,19460202,   98,    0
  2207,  6691,19460203,   -4,    0
  2207,  6691,19460204,   52,    0
  2207,  6691,19460205,   99,    0
  2207,  6691,19460206,   90,    0
  2207,  6691,19460207,  114,    0
  2207,  6691,19460208,   74,    0
  2207,  6691,19460209,   90,    0
  2207,  6691,19460210,   40,    0
  2207,  6691,19460211,   20,    0
  2207,  6691,19460212,   -5,    0
  2207,  6691,19460213,   70,    0
  2207,  6691,19460214,    4,    0
  2207,  6691,19460215,  -20,    0
  2207,  6691,19460216,   16,    0
  2207,  6691,19460217,  -20,    0
  2207,  6691,19460218,   -5,    0
  2207,  6691,19460219,   25,    0
  2207,  6691,19460220,   38,    0
  2207,  6691,19460221,   61,    0
