EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 17-03-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : Minimum temperature in 0.1 &#176;C
30-34 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NANTES-BOUGUENAIS, FRANCE (STAID: 742)
Blended and updated with sources:4062 907222 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TN, Q_TN
   742,  4062,19450501,  -15,    0
   742,  4062,19450502,   -6,    0
   742,  4062,19450503,   -5,    0
   742,  4062,19450504,   62,    0
   742,  4062,19450505,  106,    0
   742,  4062,19450506,  124,    0
   742,  4062,19450507,  105,    0
   742,  4062,19450508,  140,    0
   742,  4062,19450509,  138,    0
   742,  4062,19450510,  145,    0
   742,  4062,19450511,  146,    0
   742,  4062,19450512,  148,    0
   742,  4062,19450513,  148,    0
   742,  4062,19450514,   96,    0
   742,  4062,19450515,   92,    0
   742,  4062,19450516,  144,    0
   742,  4062,19450517,  178,    0
   742,  4062,19450518,  144,    0
   742,  4062,19450519,  146,    0
   742,  4062,19450520,  140,    0
   742,  4062,19450521,   97,    0
   742,  4062,19450522,   84,    0
   742,  4062,19450523,   76,    0
   742,  4062,19450524,   80,    0
   742,  4062,19450525,   70,    0
   742,  4062,19450526,  105,    0
   742,  4062,19450527,  112,    0
   742,  4062,19450528,  104,    0
   742,  4062,19450529,   88,    0
   742,  4062,19450530,   54,    0
   742,  4062,19450531,   72,    0
   742,  4062,19450601,  106,    0
   742,  4062,19450602,   97,    0
   742,  4062,19450603,   98,    0
   742,  4062,19450604,  136,    0
   742,  4062,19450605,  110,    0
   742,  4062,19450606,  130,    0
   742,  4062,19450607,  147,    0
   742,  4062,19450608,  106,    0
   742,  4062,19450609,   77,    0
   742,  4062,19450610,   86,    0
   742,  4062,19450611,  126,    0
   742,  4062,19450612,  161,    0
   742,  4062,19450613,   90,    0
   742,  4062,19450614,   66,    0
   742,  4062,19450615,  114,    0
   742,  4062,19450616,  118,    0
   742,  4062,19450617,   94,    0
   742,  4062,19450618,  104,    0
   742,  4062,19450619,  168,    0
   742,  4062,19450620,  160,    0
   742,  4062,19450621,  143,    0
   742,  4062,19450622,  120,    0
   742,  4062,19450623,  160,    0
   742,  4062,19450624,  150,    0
   742,  4062,19450625,  120,    0
   742,  4062,19450626,  154,    0
   742,  4062,19450627,  110,    0
   742,  4062,19450628,  100,    0
   742,  4062,19450629,  125,    0
   742,  4062,19450630,  108,    0
   742,  4062,19450701,  112,    0
   742,  4062,19450702,  100,    0
   742,  4062,19450703,   72,    0
   742,  4062,19450704,  138,    0
   742,  4062,19450705,  138,    0
   742,  4062,19450706,  138,    0
   742,  4062,19450707,  149,    0
   742,  4062,19450708,  110,    0
   742,  4062,19450709,  168,    0
   742,  4062,19450710,  143,    0
   742,  4062,19450711,  118,    0
   742,  4062,19450712,  128,    0
   742,  4062,19450713,  176,    0
   742,  4062,19450714,  170,    0
   742,  4062,19450715,  150,    0
   742,  4062,19450716,  130,    0
   742,  4062,19450717,  123,    0
   742,  4062,19450718,  162,    0
   742,  4062,19450719,  158,    0
   742,  4062,19450720,  150,    0
   742,  4062,19450721,  129,    0
   742,  4062,19450722,  153,    0
   742,  4062,19450723,  126,    0
   742,  4062,19450724,  136,    0
   742,  4062,19450725,  158,    0
   742,  4062,19450726,  184,    0
   742,  4062,19450727,  156,    0
   742,  4062,19450728,  123,    0
   742,  4062,19450729,  118,    0
   742,  4062,19450730,  123,    0
   742,  4062,19450731,  144,    0
   742,  4062,19450801,  147,    0
   742,  4062,19450802,  134,    0
   742,  4062,19450803,  119,    0
   742,  4062,19450804,  139,    0
   742,  4062,19450805,  146,    0
   742,  4062,19450806,   88,    0
   742,  4062,19450807,   76,    0
   742,  4062,19450808,  108,    0
   742,  4062,19450809,  109,    0
   742,  4062,19450810,   90,    0
   742,  4062,19450811,  102,    0
   742,  4062,19450812,  140,    0
   742,  4062,19450813,  149,    0
   742,  4062,19450814,  140,    0
   742,  4062,19450815,  158,    0
   742,  4062,19450816,   96,    0
   742,  4062,19450817,  116,    0
   742,  4062,19450818,  148,    0
   742,  4062,19450819,  110,    0
   742,  4062,19450820,  112,    0
   742,  4062,19450821,  158,    0
   742,  4062,19450822,  142,    0
   742,  4062,19450823,  138,    0
   742,  4062,19450824,  108,    0
   742,  4062,19450825,  112,    0
   742,  4062,19450826,  148,    0
   742,  4062,19450827,  156,    0
   742,  4062,19450828,  170,    0
   742,  4062,19450829,  142,    0
   742,  4062,19450830,  136,    0
   742,  4062,19450831,  115,    0
   742,  4062,19450901,  150,    0
   742,  4062,19450902,  160,    0
   742,  4062,19450903,  138,    0
   742,  4062,19450904,  115,    0
   742,  4062,19450905,  105,    0
   742,  4062,19450906,  105,    0
   742,  4062,19450907,  122,    0
   742,  4062,19450908,  138,    0
   742,  4062,19450909,  130,    0
   742,  4062,19450910,  124,    0
   742,  4062,19450911,  168,    0
   742,  4062,19450912,  146,    0
   742,  4062,19450913,  133,    0
   742,  4062,19450914,  138,    0
