EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 17-03-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FORLI_URBANA, ITALY (STAID: 17622)
Blended and updated with sources:95345 95353 96849 916147 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
 17622,916147,20051201,   62,    0
 17622,916147,20051202,  101,    0
 17622,916147,20051203,  134,    0
 17622,916147,20051204,  137,    0
 17622,916147,20051205,  100,    0
 17622,916147,20051206,  110,    0
 17622,916147,20051207,  104,    0
 17622,916147,20051208,  110,    0
 17622,916147,20051209,  100,    0
 17622,916147,20051210,   77,    0
 17622,916147,20051211,   71,    0
 17622,916147,20051212,   46,    0
 17622,916147,20051213,   60,    0
 17622,916147,20051214,   76,    0
 17622,916147,20051215,   67,    0
 17622,916147,20051216,   70,    0
 17622,916147,20051217,   41,    0
 17622,916147,20051218,   75,    0
 17622,916147,20051219,   87,    0
 17622,916147,20051220,   86,    0
 17622,916147,20051221,-9999,    9
 17622,916147,20051222,-9999,    9
 17622,916147,20051223,   74,    0
 17622,916147,20051224,   86,    0
 17622,916147,20051225,   50,    0
 17622,916147,20051226,   61,    0
 17622,916147,20051227,   51,    0
 17622,916147,20051228,   90,    0
 17622,916147,20051229,   46,    0
 17622,916147,20051230,   50,    0
 17622, 95353,20051231,    8,    0
 17622, 95353,20060101,   16,    0
 17622, 95353,20060102,   51,    0
 17622, 95353,20060103,   71,    0
 17622, 95353,20060104,   57,    0
 17622, 95353,20060105,   55,    0
 17622, 95353,20060106,   72,    0
 17622, 95353,20060107,   72,    0
 17622, 95353,20060108,   72,    0
 17622, 95353,20060109,   38,    0
 17622, 95353,20060110,   56,    0
 17622, 95353,20060111,   71,    0
 17622, 95353,20060112,   70,    0
 17622, 95353,20060113,   61,    0
 17622, 95353,20060114,   52,    0
 17622, 95353,20060115,   14,    0
 17622, 95353,20060116,   25,    0
 17622, 95353,20060117,   10,    0
 17622, 95353,20060118,   35,    0
 17622, 95353,20060119,   11,    0
 17622, 95353,20060120,   39,    0
 17622, 95353,20060121,   29,    0
 17622, 95353,20060122,   69,    0
 17622, 95353,20060123,   26,    0
 17622, 95353,20060124,   27,    0
 17622, 95353,20060125,   25,    0
 17622, 95353,20060126,   28,    0
 17622, 95353,20060127,   16,    0
 17622, 95353,20060128,   54,    0
 17622, 95353,20060129,   63,    0
 17622, 95353,20060130,   70,    0
 17622, 95353,20060131,  112,    0
 17622, 95353,20060201,  127,    0
 17622, 95353,20060202,  138,    0
 17622, 95353,20060203,  126,    0
 17622, 95353,20060204,   95,    0
 17622, 95353,20060205,   52,    0
 17622, 95353,20060206,   39,    0
 17622, 95353,20060207,   60,    0
 17622, 95353,20060208,   63,    0
 17622, 95353,20060209,   92,    0
 17622, 95353,20060210,  100,    0
 17622, 95353,20060211,   93,    0
 17622, 95353,20060212,   90,    0
 17622, 95353,20060213,   94,    0
 17622, 95353,20060214,  100,    0
 17622, 95353,20060215,  133,    0
 17622, 95353,20060216,   62,    0
 17622, 95353,20060217,  160,    0
 17622, 95353,20060218,  173,    0
 17622, 95353,20060219,  167,    0
 17622, 95353,20060220,  131,    0
 17622, 95353,20060221,   79,    0
 17622, 95353,20060222,  107,    0
 17622, 95353,20060223,   93,    0
 17622, 95353,20060224,   64,    0
 17622, 95353,20060225,   53,    0
 17622, 95353,20060226,   99,    0
 17622, 95353,20060227,   72,    0
 17622, 95353,20060228,   59,    0
 17622, 95353,20060301,   73,    0
 17622, 95353,20060302,   58,    0
 17622, 95353,20060303,  132,    0
 17622, 95353,20060304,  179,    0
 17622, 95353,20060305,  167,    0
 17622, 95353,20060306,   77,    0
 17622, 95353,20060307,   98,    0
 17622, 95353,20060308,   92,    0
 17622, 95353,20060309,  103,    0
 17622, 95353,20060310,  126,    0
 17622, 95353,20060311,  106,    0
 17622, 95353,20060312,   91,    0
 17622, 95353,20060313,   90,    0
 17622, 95353,20060314,   85,    0
 17622, 95353,20060315,  108,    0
 17622, 95353,20060316,   68,    0
 17622, 95353,20060317,  102,    0
 17622, 95353,20060318,   99,    0
 17622, 95353,20060319,   94,    0
 17622, 95353,20060320,  120,    0
 17622, 95353,20060321,   96,    0
 17622, 95353,20060322,   89,    0
 17622, 95353,20060323,  143,    0
 17622, 95353,20060324,  112,    0
 17622, 95353,20060325,  150,    0
 17622, 95353,20060326,  175,    0
 17622, 95353,20060327,  193,    0
 17622, 95353,20060328,  202,    0
 17622, 95353,20060329,  189,    0
 17622, 95353,20060330,  200,    0
 17622, 95353,20060331,  218,    0
 17622, 95353,20060401,  193,    0
 17622, 95353,20060402,  188,    0
 17622, 95353,20060403,  183,    0
 17622, 95353,20060404,  166,    0
 17622, 95353,20060405,  197,    0
 17622, 95353,20060406,  165,    0
 17622, 95353,20060407,  129,    0
 17622, 95353,20060408,  156,    0
 17622, 95353,20060409,  188,    0
 17622, 95353,20060410,  192,    0
 17622, 95353,20060411,  159,    0
 17622, 95353,20060412,  152,    0
 17622, 95353,20060413,  180,    0
 17622, 95353,20060414,  212,    0
 17622, 95353,20060415,  223,    0
 17622, 95353,20060416,  209,    0
 17622, 95353,20060417,  193,    0
